Batch,ASC-16 amount(5-40mg),Temperature(200-280゜C),Cs/Pb(0.6-1.8),Yb/Pb(1.5-4),OA amount(0-2ml),PLQY(%)
0,13.2,242,1.73,2.58,0.312,100
0,8.5,237,1.4,2.69,0.931,106
0,23.3,256,0.61,2.82,0.778,137
0,14.5,202,1.13,3.7,1.2,30
0,33.8,245,1.07,3.08,1.79,129
0,25.8,211,1.15,3.49,0.446,41
0,7.7,219,0.893,1.98,1.88,29
0,26.9,205,1.22,1.62,0.189,0
0,32,227,0.916,2.86,0.103,65
0,16.8,221,1.6,2.99,1.69,38
0,5.9,226,0.986,3.88,0.414,62
0,38.9,251,1.69,3.34,1.63,153
0,31.2,248,1.76,2.08,1.58,115
0,18.3,215,1.01,2.4,1.26,32
0,36.2,258,1.54,3.64,0.522,147
0,11.7,210,0.746,1.51,0.867,44
0,25.3,234,0.777,1.74,0.633,77
0,10.6,232,1.34,3.95,1.03,84
1,5,252,1.8,3.034,1.267,136
1,39.4,256,0.6,1.5,1.402,6
1,35,260,1.8,1.5,2,0
1,5,260,1.8,1.5,1.636,3
1,5,260,0.6,4,1.758,159
1,5,252,1.8,1.5,1.494,2
2,40,260,0.6,3.35,2,146.35
2,40,260,0.6,3.83,2,143.98
2,31.773,254,0.6,3.923,2,156.8
2,5,254.729,0.6,3.506,2,159.28
2,40,257.88,1.8,3.956,2,149.11
2,35.64,260,0.6,2.453,2,102.8
2,40,260,1.2,3.9,2,148.5
